USER_ID,MOVIE_ID,DURATION
0,1860,101
0,2170,94
0,4243,112
0,6031,200
0,12495,3
1,10978,124
2,40,1
2,559,55
2,7541,1
2,13893,236
4,2198,288
4,8074,21
5,14380,3
7,611,8
7,2170,1
7,9247,49
8,2842,2
8,6082,111
8,10865,20
9,966,56
9,3781,111
9,4039,101
9,7340,1
9,10053,25
9,13893,4
9,14250,1
9,14596,105
10,2170,84
10,6708,2
11,3134,2
11,4133,1
11,7340,175
11,9552,19
11,14134,89
13,2198,98
13,4216,155
13,6654,108
13,6880,61
13,8283,1
13,10232,68
13,10693,151
13,12484,56
13,13093,2
14,1616,137
14,2198,3
14,3767,90
14,5168,1
14,6533,125
14,7121,100
14,10600,5
14,10828,117
16,3736,138
16,7896,1
16,9650,80
17,7568,71
17,8579,55
18,2170,98
18,3009,123
19,5352,17
19,7391,41
19,12385,1
20,4396,1
20,10526,1
20,13893,1
21,1616,102
22,4100,35
22,5946,300
24,2198,3
24,6654,110
24,10281,6
24,13893,4
24,14250,106
25,2170,1
25,9046,1
26,611,1
26,8076,25
26,10561,18
26,10639,5
26,11132,70
26,12174,7
29,2198,90
29,9959,87
29,12648,55
30,1037,27
30,5135,12
30,5946,9
30,8116,27
31,611,87
31,2170,92
31,5532,90
31,6271,1
31,9821,110
31,14250,127
31,14489,89
32,1765,20
32,8968,1
33,3766,1
35,1494,128
35,1616,139
35,2943,144
35,5184,106
35,8106,168
35,8599,140
35,10508,108
35,10682,118
35,12705,63
35,13215,112
35,13596,88
36,2198,142
36,13893,292
37,5220,147
37,6654,62
37,7133,3
38,1892,1
38,5085,103
38,6926,113
39,14250,129
40,1842,38
41,1126,102
41,1610,289
42,734,1
42,2526,1
42,4439,1
42,8283,1
42,9524,63
42,13893,296
43,2198,97
43,6236,117
43,7592,87
43,8965,100
43,10308,94
43,12648,3
44,2170,2
44,9963,1
44,10238,1
44,10639,6
44,13893,1
45,2198,92
45,3090,104
45,5081,111
45,7592,262
45,7758,87
45,10828,1
46,1284,1
46,2198,7
46,3495,1
46,6319,37
46,8736,68
