MOVIE_ID,TITLE,viewer_count,repurchase_cnt,avg_duration,repurchase_rate
8811,헝거게임:판엠의불꽃,139,101,100.92805755395683,0.7266
99,북두의신,139,89,34.73381294964029,0.6403
12399,바나나쏭의기적,137,80,57.10948905109489,0.5839
2371,몽골,137,89,96.45255474452554,0.6496
13186,언더더선,136,88,33.455882352941174,0.6471
7020,마리오네트,135,84,48.903703703703705,0.6222
10894,나를차버린스파이,133,87,64.06766917293233,0.6541
9821,보이콰이어,132,89,73.0909090909091,0.6742
5269,토이스토리4,130,98,62.73076923076923,0.7538
14282,삼진그룹영어토익반,130,86,73.2,0.6615
8283,더터널,130,80,19.56923076923077,0.6154
9497,라이트오브라이프,130,87,39.176923076923075,0.6692
12648,인사이드아웃,125,83,52.12,0.664
3634,워위드그랜파,124,86,28.35483870967742,0.6935
7896,큰엄마의미친봉고,124,76,54.87096774193548,0.6129
1921,"오늘밤,로맨스극장에서",121,84,17.24793388429752,0.6942
8843,개구쟁이스머프2[2D],120,78,71.15833333333333,0.65
2737,미녀는괴로워(2006),117,87,94.21367521367522,0.7436
8970,주토피아,116,79,101.33620689655173,0.681
255,매직마이크,116,73,51.10344827586207,0.6293
5145,베리드(2010),111,72,62.62162162162162,0.6486
9306,툼레이더(2001),109,75,61.44954128440367,0.6881
8713,수상한가족,109,73,66.97247706422019,0.6697
13336,지금만나러갑니다(2018),108,76,71.00925925925925,0.7037
9302,더임파서블,108,78,48.05555555555556,0.7222
5797,헌터킬러,108,73,107.57407407407408,0.6759
10789,네무덤에침을뱉어라(1979),108,65,54.083333333333336,0.6019
10232,라이어트:기계들의역습,104,64,25.326923076923077,0.6154
9110,여배우는오늘도,101,75,10.94059405940594,0.7426
14407,차이나타운,100,67,70.76,0.67
10958,철의심장을가진남자,100,65,50.86,0.65
7133,간이역,99,64,29.91919191919192,0.6465
12746,오케이마담,99,62,74.1010101010101,0.6263
1892,해리포터와마법사의돌,99,66,124.74747474747475,0.6667
697,헝거게임:캣칭파이어,99,71,106.71717171717172,0.7172
1063,오드토머스,99,72,39.61616161616162,0.7273
1589,베티블루37.2디오리지널,98,61,34.1530612244898,0.6224
11008,세상의모든디저트:러브사라,98,69,50.80612244897959,0.7041
10561,도둑들:비트코인전쟁,98,59,46.58163265306123,0.602
14489,더레이서,97,69,48.7319587628866,0.7113
11306,김광석,96,59,42.354166666666664,0.6146
4033,파이널포트레이트,96,57,5.947916666666667,0.5938
14287,라이온킹(2019),95,63,55.11578947368421,0.6632
13326,인크레더블2,95,57,88.29473684210527,0.6
4731,인비저블게스트,94,57,60.3936170212766,0.6064
8480,도굴,94,60,58.319148936170215,0.6383
6524,"그아이의,포로",92,57,60.93478260869565,0.6196
13071,대폭격(2018),92,56,55.28260869565217,0.6087
6755,파파로티,92,55,106.01086956521739,0.5978
4008,바람의검심,92,66,73.29347826086956,0.7174
11829,트롤2:월드투어,91,62,80.5934065934066,0.6813
6413,라푼젤,91,53,91.27472527472527,0.5824
14026,시라노:연애조작단,91,62,18.626373626373628,0.6813
10385,원타치,90,59,25.966666666666665,0.6556
13069,슈퍼배드3,90,57,77.14444444444445,0.6333
12378,분노,90,55,12.766666666666667,0.6111
8037,케이크메이커,90,68,17.844444444444445,0.7556
7898,특종:량첸살인기,90,61,88.38888888888889,0.6778
12930,꿈의제인,88,50,18.71590909090909,0.5682
3495,"내어깨위고양이,밥2",88,56,42.21590909090909,0.6364
11674,반지의제왕:반지원정대,88,54,95.54545454545455,0.6136
12954,동감,88,61,26.488636363636363,0.6932
1832,서핑업(2007),87,57,23.436781609195403,0.6552
10608,리틀포레스트,87,57,82.14942528735632,0.6552
6994,럭키몬스터,87,56,31.022988505747126,0.6437
3683,반도,87,55,44.44827586206897,0.6322
1133,부러진화살(2011),87,61,81.93103448275862,0.7011
12298,고백(2020),86,57,15.895348837209303,0.6628
7541,아티스트봉만대,86,57,24.03488372093023,0.6628
7606,타임랩스,85,61,29.223529411764705,0.7176
120,로그시티,84,46,67.85714285714286,0.5476
2794,툼레이더2:판도라의상자,83,63,82.1566265060241,0.759
10173,언니,83,46,62.8433734939759,0.5542
3766,영주,82,59,22.914634146341463,0.7195
1372,프리즌브레이커스,81,56,56.407407407407405,0.6914
5031,눈길(2017),81,57,73.64197530864197,0.7037
6377,저스티스리그,80,44,52.3875,0.55
7465,극한직업,80,55,102.3625,0.6875
2137,마이펫의이중생활2,79,55,67.36708860759494,0.6962
13180,여배우들(2009),79,49,82.0253164556962,0.6203
10868,너의췌장을먹고싶어,78,52,47.333333333333336,0.6667
8928,고질라:킹오브몬스터,77,51,71.87012987012987,0.6623
7001,기생충,77,52,57.05194805194805,0.6753
12932,여교사,77,49,21.649350649350648,0.6364
7590,겨울전쟁:105일간의전투,77,47,71.75324675324676,0.6104
5042,발몽,75,53,17.813333333333333,0.7067
4791,나의특별한형제,75,50,83.6,0.6667
8076,후궁:제왕의첩,74,45,35.25675675675676,0.6081
116,미니언즈,73,48,113.28767123287672,0.6575
