iter	Logloss
0	0.6773590753
1	0.6636250603
2	0.652322094
3	0.6435979832
4	0.6359204645
5	0.630691722
6	0.6263170627
7	0.6224760454
8	0.618210791
9	0.615715502
10	0.61237987
11	0.6103573606
12	0.608414818
13	0.6068662857
14	0.6054064391
15	0.6035746595
16	0.6024429568
17	0.600837932
18	0.5999747943
19	0.598798779
20	0.5978961842
21	0.5969146485
22	0.5957154762
23	0.5947054337
24	0.5940450678
25	0.5935235302
26	0.5925945384
27	0.5920317103
28	0.5915164865
29	0.5907291593
30	0.5900988542
31	0.5893559413
32	0.5889629602
33	0.5881172193
34	0.5873401918
35	0.5865750897
36	0.5858014037
37	0.5854617719
38	0.5848856281
39	0.5843641994
40	0.5838589046
41	0.5832056544
42	0.5825767542
43	0.5821087985
44	0.581449174
45	0.580910953
46	0.5804051408
47	0.5797460845
48	0.5792698719
49	0.5787387086
50	0.5784110949
51	0.5777898764
52	0.5773543527
53	0.5771036299
54	0.5766403879
55	0.5762464158
56	0.5757160453
57	0.5754098909
58	0.5748445846
59	0.5741612393
60	0.5738717897
61	0.5735727313
62	0.5735064641
63	0.5730642977
64	0.5726134267
65	0.5721266207
66	0.5719339219
67	0.571412389
68	0.5710104378
69	0.5706992847
70	0.5702305891
71	0.5700233622
72	0.5694853266
73	0.5690337976
74	0.568782705
75	0.5683797677
76	0.5681052467
77	0.5676449122
78	0.5670548467
79	0.5667514683
80	0.5661614664
81	0.5657772508
82	0.5653644968
83	0.5651241476
84	0.5648233425
85	0.56453318
86	0.5640667533
87	0.5635897953
88	0.5632521112
89	0.5629825892
90	0.5624543448
91	0.5619804958
92	0.5615218135
93	0.561041491
94	0.5606501488
95	0.5602180252
96	0.5598325327
97	0.5596752876
98	0.559116566
99	0.5586443993
100	0.5582305375
101	0.5576192078
102	0.5573713686
103	0.5568058453
104	0.5563017496
105	0.5557496802
106	0.5553048061
107	0.554819855
108	0.5543780572
109	0.5538792374
110	0.5534984866
111	0.5531875131
112	0.552789753
113	0.5521222814
114	0.5515479151
115	0.5511578357
116	0.5505575606
117	0.5501981084
118	0.5495742428
119	0.5489831085
120	0.5486705852
121	0.5480156046
122	0.547430812
123	0.5469347343
124	0.5464071494
125	0.5458334896
126	0.5453714934
127	0.5449374746
128	0.5442921009
129	0.5434221757
130	0.5429357727
131	0.542479779
132	0.5418791575
133	0.541374332
134	0.5408561825
135	0.5401875359
136	0.5396125627
137	0.5389726794
138	0.5385998498
139	0.5380319534
140	0.5375366467
141	0.5369142915
142	0.536387161
143	0.535970354
144	0.5355534941
145	0.5348847438
146	0.5346613008
147	0.5343719137
148	0.533925312
149	0.5335130268
150	0.5332086553
151	0.5326188959
152	0.532053975
153	0.5316196407
154	0.5310663508
155	0.5306837949
156	0.5300979826
157	0.5296419758
158	0.5293109253
159	0.5288591135
160	0.5285775355
161	0.5279524604
162	0.5276680713
163	0.5271931574
164	0.52672923
165	0.5262708252
166	0.5259778798
167	0.5254322312
168	0.5250242924
169	0.5245243285
170	0.5241422229
171	0.5235745649
172	0.5232365785
173	0.5228395828
174	0.5224275307
175	0.5219066492
176	0.521425177
177	0.5209304476
178	0.5205217912
179	0.5200002675
180	0.5195242523
181	0.5190058751
182	0.5185772085
183	0.5183266206
184	0.5178994899
185	0.517442897
186	0.5169290215
187	0.5163337796
188	0.5158699895
189	0.5153536908
190	0.5150557262
191	0.5145176379
192	0.514051291
193	0.5134936674
194	0.5131532987
195	0.512611749
196	0.5119786306
197	0.5114854234
198	0.5111156232
199	0.5106259699
200	0.5103494624
201	0.5100449743
202	0.5096757854
203	0.5092770725
204	0.5088507303
205	0.5085382303
206	0.5080168705
207	0.5074099192
208	0.5070632559
209	0.506607407
210	0.5061832392
211	0.5056603771
212	0.5054285615
213	0.5051267852
214	0.504611946
215	0.5041758624
216	0.5037859877
217	0.5032135727
218	0.5028359127
219	0.5025019933
220	0.5021854039
221	0.5017990257
222	0.5014242515
223	0.5008824238
224	0.5003981674
225	0.5002174936
226	0.4997475141
227	0.4994379897
228	0.4989441004
229	0.4985576292
230	0.4981959216
231	0.4977711236
232	0.497489787
233	0.4969306302
234	0.4967354011
235	0.4962957054
236	0.4957670796
237	0.4953816655
238	0.4950250109
239	0.4946568867
240	0.4942211566
241	0.4938040212
242	0.4932094672
243	0.4927868608
244	0.492287689
245	0.4920224377
246	0.4916601576
247	0.4914411217
248	0.4910955453
249	0.4908442896
250	0.4904171022
251	0.4899634477
252	0.4895705613
253	0.4892124804
254	0.4889964818
255	0.4886214356
256	0.4883243645
257	0.4879998102
258	0.4876070929
259	0.4873026876
260	0.4869474195
261	0.48636646
262	0.4860454359
263	0.48584335
264	0.4852824524
265	0.4849094951
266	0.4846886346
267	0.4843456432
268	0.483958021
269	0.4836704306
270	0.4833952239
271	0.483114921
272	0.4828167679
273	0.4825330255
274	0.4821694027
275	0.4818390812
276	0.4813023404
277	0.4810328368
278	0.4806524263
279	0.4802665555
280	0.4799606771
281	0.4798017695
282	0.4793715331
283	0.4789760931
284	0.4786688614
285	0.4782348983
286	0.4778499321
287	0.4774114982
288	0.4771572572
289	0.4768375429
290	0.476488363
291	0.4761947038
292	0.4756668565
293	0.4753716734
294	0.4750792419
295	0.4746613558
296	0.4743168044
297	0.4739163896
298	0.4735604577
299	0.4732102154
