iter	Passed	Remaining
0	5	5645
1	10	5310
2	15	5049
3	19	4758
4	23	4639
5	27	4495
6	30	4378
7	35	4345
8	38	4269
9	42	4241
10	46	4208
11	50	4161
12	54	4156
13	58	4124
14	62	4135
15	67	4121
16	71	4129
17	75	4125
18	79	4115
19	83	4102
20	87	4079
21	92	4093
22	95	4070
23	100	4077
24	104	4065
25	108	4055
26	112	4056
27	116	4038
28	120	4033
29	124	4021
30	128	4015
31	132	4001
32	136	3986
33	140	3989
34	144	3975
35	148	3977
36	152	3964
37	156	3960
38	160	3952
39	164	3943
40	168	3951
41	172	3929
42	176	3925
43	180	3919
44	184	3905
45	188	3904
46	192	3912
47	198	3929
48	202	3922
49	206	3929
50	210	3925
51	216	3938
52	220	3939
53	225	3944
54	230	3957
55	235	3961
56	239	3956
57	243	3955
58	247	3952
59	252	3949
60	255	3939
61	259	3932
62	264	3931
63	268	3923
64	272	3923
65	276	3917
66	281	3916
67	285	3913
68	289	3908
69	293	3905
70	297	3898
71	302	3894
72	306	3889
73	310	3886
74	314	3880
75	318	3876
76	323	3876
77	327	3869
78	332	3872
79	336	3868
80	340	3865
81	344	3859
82	349	3859
83	353	3852
84	357	3845
85	361	3843
86	365	3839
87	370	3840
88	374	3831
89	379	3833
90	383	3835
91	388	3837
92	393	3839
93	398	3837
94	402	3834
95	407	3833
96	412	3837
97	417	3841
98	422	3841
99	426	3839
100	430	3832
101	435	3830
102	439	3826
103	443	3821
104	448	3818
105	452	3813
106	456	3811
107	460	3803
108	464	3800
109	468	3792
110	473	3788
111	477	3784
112	481	3776
113	485	3775
114	489	3768
115	493	3763
116	497	3752
117	501	3745
118	505	3743
119	509	3736
120	514	3738
121	518	3735
122	523	3735
123	528	3730
124	532	3727
125	536	3720
126	540	3716
127	544	3711
128	548	3704
129	553	3701
130	558	3701
131	563	3704
132	567	3699
133	572	3701
134	576	3696
135	581	3695
136	585	3690
137	590	3688
138	594	3682
139	598	3679
140	603	3678
141	608	3676
142	612	3670
143	617	3669
144	622	3669
145	627	3669
146	630	3656
147	634	3650
148	638	3648
149	642	3643
150	647	3641
151	651	3635
152	656	3631
153	660	3627
154	664	3621
155	668	3618
156	672	3612
157	677	3610
158	681	3604
159	686	3601
160	690	3596
161	694	3590
162	698	3585
163	702	3578
164	706	3576
165	710	3570
166	715	3567
167	719	3563
168	723	3558
169	727	3553
170	731	3548
171	736	3544
172	740	3539
173	744	3535
174	748	3530
175	752	3524
176	757	3521
177	761	3514
178	765	3511
179	769	3506
180	774	3502
181	777	3495
182	781	3490
183	786	3489
184	791	3485
185	795	3482
186	799	3477
187	804	3476
188	808	3471
189	813	3467
190	817	3462
191	821	3458
192	825	3453
193	830	3450
194	835	3447
195	839	3443
196	843	3439
197	847	3434
198	852	3431
199	856	3426
200	860	3422
201	865	3417
202	868	3408
203	872	3405
204	876	3400
205	881	3397
206	885	3391
207	889	3388
208	893	3382
209	898	3379
210	902	3373
211	906	3367
212	910	3365
213	914	3360
214	919	3355
215	923	3350
216	927	3345
217	931	3340
218	934	3334
219	939	3330
220	943	3324
221	947	3319
222	951	3314
223	955	3311
224	960	3307
225	964	3303
226	968	3298
227	972	3293
228	975	3285
229	979	3280
230	982	3272
231	987	3268
232	991	3262
233	995	3258
234	999	3254
235	1004	3251
236	1008	3246
237	1012	3243
238	1017	3239
239	1021	3235
240	1026	3232
241	1030	3226
242	1035	3224
243	1040	3222
244	1045	3221
245	1049	3216
246	1053	3212
247	1058	3208
248	1062	3204
249	1066	3199
250	1070	3194
251	1074	3190
252	1078	3184
253	1083	3181
254	1087	3176
255	1092	3173
256	1096	3169
257	1100	3166
258	1104	3161
259	1109	3157
260	1114	3154
261	1118	3151
262	1122	3146
263	1126	3141
264	1131	3138
265	1135	3133
266	1140	3131
267	1143	3124
268	1148	3121
269	1152	3116
270	1157	3112
271	1161	3107
272	1164	3101
273	1169	3098
274	1173	3093
275	1177	3088
276	1181	3084
277	1186	3080
278	1190	3077
279	1195	3073
280	1199	3068
281	1203	3065
282	1208	3062
283	1212	3057
284	1217	3055
285	1222	3052
286	1227	3048
287	1230	3042
288	1235	3039
289	1239	3034
290	1244	3031
291	1248	3026
292	1252	3023
293	1257	3018
294	1261	3014
295	1265	3009
296	1269	3004
297	1273	3000
298	1277	2995
299	1282	2991
300	1286	2987
301	1290	2983
302	1294	2978
303	1298	2973
304	1303	2970
305	1307	2965
306	1312	2962
307	1316	2957
308	1320	2953
309	1325	2949
310	1329	2944
311	1333	2940
312	1338	2937
313	1342	2933
314	1346	2927
315	1350	2924
316	1354	2918
317	1359	2914
318	1363	2910
319	1367	2905
320	1371	2901
321	1375	2895
322	1379	2891
323	1383	2886
324	1387	2882
325	1391	2877
326	1396	2873
327	1399	2867
328	1403	2862
329	1408	2858
330	1412	2854
331	1417	2851
332	1422	2848
333	1427	2847
334	1432	2842
335	1436	2838
336	1440	2833
337	1444	2829
338	1448	2824
339	1452	2818
340	1456	2815
341	1460	2810
342	1464	2806
343	1468	2800
344	1472	2796
345	1476	2791
346	1480	2786
347	1485	2782
348	1489	2777
349	1493	2774
350	1497	2769
351	1502	2765
352	1506	2761
353	1511	2758
354	1517	2756
355	1521	2752
356	1525	2747
357	1529	2742
358	1533	2737
359	1537	2732
360	1541	2728
361	1545	2723
362	1549	2719
363	1553	2714
364	1557	2709
365	1561	2705
366	1565	2699
367	1570	2696
368	1574	2691
369	1577	2686
370	1582	2683
371	1587	2679
372	1591	2674
373	1595	2670
374	1599	2666
375	1603	2661
376	1608	2657
377	1612	2653
378	1617	2649
379	1621	2645
380	1625	2641
381	1630	2638
382	1635	2634
383	1639	2630
384	1643	2625
385	1647	2620
386	1651	2615
387	1655	2611
388	1659	2607
389	1663	2602
390	1668	2597
391	1671	2593
392	1676	2588
393	1680	2584
394	1684	2579
395	1688	2575
396	1692	2570
397	1696	2566
398	1700	2561
399	1704	2556
400	1708	2551
401	1712	2548
402	1716	2543
403	1720	2538
404	1724	2533
405	1728	2529
406	1733	2525
407	1737	2520
408	1741	2516
409	1745	2511
410	1748	2506
411	1753	2502
412	1757	2497
413	1761	2493
414	1765	2488
415	1769	2484
416	1773	2479
417	1778	2475
418	1782	2471
419	1786	2466
420	1790	2462
421	1794	2458
422	1798	2453
423	1802	2449
424	1806	2444
425	1811	2440
426	1815	2436
427	1820	2432
428	1824	2428
429	1829	2424
430	1833	2420
431	1837	2415
432	1840	2410
433	1844	2405
434	1849	2402
435	1853	2397
436	1856	2392
437	1861	2388
438	1865	2384
439	1869	2379
440	1873	2374
441	1877	2370
442	1881	2366
443	1886	2362
444	1890	2357
445	1894	2352
446	1898	2348
447	1901	2343
448	1905	2338
449	1909	2334
450	1914	2330
451	1918	2325
452	1922	2320
453	1926	2316
454	1930	2312
455	1934	2307
456	1938	2303
457	1942	2299
458	1946	2294
459	1950	2290
460	1955	2286
461	1958	2281
462	1963	2276
463	1967	2272
464	1971	2268
465	1975	2263
466	1978	2258
467	1983	2254
468	1987	2249
469	1991	2245
470	1996	2242
471	2000	2238
472	2004	2233
473	2008	2229
474	2013	2225
475	2017	2221
476	2021	2216
477	2026	2213
478	2031	2209
479	2035	2204
480	2039	2200
481	2044	2196
482	2048	2192
483	2052	2187
484	2056	2183
485	2060	2178
486	2064	2174
487	2068	2169
488	2072	2165
489	2076	2161
490	2080	2157
491	2084	2152
492	2088	2148
493	2093	2144
494	2098	2140
495	2102	2136
496	2106	2131
497	2110	2127
498	2115	2123
499	2119	2119
500	2123	2114
501	2127	2110
502	2131	2106
503	2135	2101
504	2139	2097
505	2143	2092
506	2147	2088
507	2151	2083
508	2155	2079
509	2159	2075
510	2163	2070
511	2168	2066
512	2172	2062
513	2177	2058
514	2181	2054
515	2186	2050
516	2190	2046
517	2194	2041
518	2199	2038
519	2202	2033
520	2207	2029
521	2211	2025
522	2216	2021
523	2220	2017
524	2224	2013
525	2228	2008
526	2232	2004
527	2236	1999
528	2240	1994
529	2244	1990
530	2249	1986
531	2253	1982
532	2257	1978
533	2262	1974
534	2267	1970
535	2271	1966
536	2275	1961
537	2279	1957
538	2283	1953
539	2287	1948
540	2292	1944
541	2295	1940
542	2299	1935
543	2304	1931
544	2308	1927
545	2312	1922
546	2316	1918
547	2320	1914
548	2324	1909
549	2328	1905
550	2332	1900
551	2336	1896
552	2340	1892
553	2345	1887
554	2349	1883
555	2354	1879
556	2358	1875
557	2361	1870
558	2365	1866
559	2369	1861
560	2373	1857
561	2377	1852
562	2381	1848
563	2384	1843
564	2389	1839
565	2393	1835
566	2398	1831
567	2401	1826
568	2405	1822
569	2409	1817
570	2413	1813
571	2417	1808
572	2421	1804
573	2426	1800
574	2431	1796
575	2435	1793
576	2439	1788
577	2444	1784
578	2448	1780
579	2452	1775
580	2456	1771
581	2460	1766
582	2464	1762
583	2468	1758
584	2472	1753
585	2476	1749
586	2480	1745
587	2485	1741
588	2488	1736
589	2493	1732
590	2497	1728
591	2501	1724
592	2505	1719
593	2509	1715
594	2513	1711
595	2517	1706
596	2522	1702
597	2526	1698
598	2530	1693
599	2534	1689
600	2538	1685
601	2542	1680
602	2546	1676
603	2550	1672
604	2554	1668
605	2558	1663
606	2563	1659
607	2566	1654
608	2571	1650
609	2575	1646
610	2579	1642
611	2583	1637
612	2586	1633
613	2591	1628
614	2595	1624
615	2600	1621
616	2604	1616
617	2609	1612
618	2614	1608
619	2619	1605
620	2622	1600
621	2626	1596
622	2630	1591
623	2635	1587
624	2639	1583
625	2642	1578
626	2647	1574
627	2651	1570
628	2655	1566
629	2659	1561
630	2662	1557
631	2667	1553
632	2671	1548
633	2675	1544
634	2679	1540
635	2684	1536
636	2688	1531
637	2691	1527
638	2696	1523
639	2700	1518
640	2704	1514
641	2708	1510
642	2712	1505
643	2716	1501
644	2720	1497
645	2724	1493
646	2728	1488
647	2732	1484
648	2736	1480
649	2740	1475
650	2744	1471
651	2748	1467
652	2753	1463
653	2757	1459
654	2761	1454
655	2766	1450
