MOVIE_ID,totCnt,MovieCd,MovieNm(csv),movieNm(api),showTm,prdtYear,openDt,typeNm,nationNm,genreNm,watchGrade
3517,1,20163579,인사이드링:항공기를훔쳐라,인사이드 링: 항공기를 훔쳐라,91,2009,20160512,장편,프랑스,스릴러,청소년관람불가
3518,1,20159107,트루스토리,트루 스토리,99,2015,,장편,미국,미스터리,15세이상관람가
3519,1,20050169,캐산,캐산,140,2004,20050707,장편,일본,액션,15세관람가
3520,1,20112935,블랙헤븐,블랙 헤븐,105,2010,,장편,프랑스,스릴러,청소년관람불가
3521,1,20140256,딜쿠샤,딜쿠샤,97,2015,20161124,장편,한국,다큐멘터리,12세이상관람가
3522,200,,유령,,,,,,,,
3523,0,,원더풀데이즈(2003),,,,,,,,
3524,1,20184900,에일리언침공,에일리언 침공,79,2016,20181217,장편,미국,공포(호러),15세이상관람가
3525,1,20158370,천국으로가는이삿짐,천국으로 가는 이삿짐,118,2013,,장편,한국,드라마,
3526,0,,세가지색:화이트(1994),,,,,,,,
3527,1,20135838,테레사팔머의감금,테레사 팔머의 감금,91,2008,20131128,장편,호주,스릴러,청소년관람불가
3528,1,19818121,순성마,순성마,88,1981,,,,,
3529,1,20201742,애비게일의저주,애비게일의 저주,82,2020,20200810,장편,미국,드라마,15세이상관람가
3530,1,20194988,슈윙!블루노트레코드스토리,슈윙! 블루 노트 레코드 스토리,113,2018,20200319,장편,독일,다큐멘터리,12세이상관람가
3531,2,,하우스오브더데드,,,,,,,,
3532,0,,제8요일(1996),,,,,,,,
3533,1,20176623,배틀오브메모리즈,배틀 오브 메모리즈,119,2017,,장편,중국,미스터리,15세이상관람가
3534,1,20100167,사요나라이츠카,사요나라 이츠카,133,2010,20100415,장편,한국,드라마,청소년관람불가
3535,1,20030206,베이직,베이직,98,2003,20040206,장편,미국,액션,15세관람가
3536,87,,악몽,,,,,,,,
3537,0,,이세상의한구석에[한글자막],,,,,,,,
3538,0,,꾼(2017)[가치봄],,,,,,,,
3539,2,,카운터스트라이크,,,,,,,,
3540,5,,블랙머니,,,,,,,,
3541,1,20138884,빅웨딩,빅 웨딩,87,2013,20130627,장편,미국,멜로/로맨스,청소년관람불가
3542,0,,리플레이스먼트킬러(1998),,,,,,,,
3543,1,20198017,미이라:지하벙커의비밀,미이라: 지하벙커의 비밀,106,2018,,장편,미국,공포(호러),청소년관람불가
3544,1,20167383,도망자2016,도망자 2016,90,2014,20170105,장편,미국,범죄,15세이상관람가
3545,0,,마리퀴리[별도편성][예고편],,,,,,,,
3546,1,20196163,타임워프워,타임 워프 워,99,2018,,장편,러시아,액션,15세이상관람가
3547,1,20135949,결단의3시10분,결단의 3:10,92,1957,,장편,미국,서부극(웨스턴),
3548,1,20133596,골!3,골! 3,96,2009,,장편,독일,드라마,15세이상관람가
3549,1,20148842,우리는형제입니다,우리는 형제입니다,101,2014,20141023,장편,한국,코미디,12세이상관람가
3550,1,20194361,상간녀살인사건,상간녀 살인사건,82,2019,20190723,장편,스페인,스릴러,청소년관람불가
3551,0,,클린트이스트우드의대도적,,,,,,,,
3552,1,20205707,마운틴콘체르토,마운틴: 콘체르토,73,2017,,장편,호주,다큐멘터리,
3553,1,20215964,모사드:인질구출작전,모사드: 인질구출작전,95,2019,,장편,기타,액션,12세이상관람가
3554,1,2022A094,황야의은화1불,황야의 은화 1불,,1965,,온라인전용,이탈리아,서부극(웨스턴),
3555,2,,킬좀비,,,,,,,,
3556,0,,라자루스프로젝트(2008),,,,,,,,
3557,1,20132361,에어포트터뷸런스,스톰 시커스,,2009,,기타,미국,액션,
3558,0,,어거스트에이트(2012),,,,,,,,
3559,1,20154563,황색바람,황색바람,72,2016,,장편,한국,다큐멘터리,
3560,0,,시티헌터[리마스터링],,,,,,,,
3561,1,19930183,중안조,중안조,106,1993,19930731,장편,홍콩,드라마,고등학생이상관람가
3562,1,20080227,아임낫데어,아임 낫 데어,135,2007,20080529,장편,미국,드라마,15세이상관람가
