iter	Logloss
0	0.6875606503
1	0.6826910577
2	0.6780588302
3	0.6740804751
4	0.6700049586
5	0.6664670938
6	0.6624894006
7	0.6589640995
8	0.6557448289
9	0.6528328167
10	0.6498913522
11	0.6474104092
12	0.6451773059
13	0.6426404661
14	0.6403970684
15	0.6384819548
16	0.6366347654
17	0.6349200969
18	0.6329688115
19	0.6314407821
20	0.6300719362
21	0.6284661072
22	0.6271523003
23	0.6259051543
24	0.624524557
25	0.6232094494
26	0.6219848446
27	0.6209802337
28	0.6200276125
29	0.6190605314
30	0.618078797
31	0.6172739603
32	0.6164675133
33	0.615737704
34	0.614988543
35	0.6142955004
36	0.6137744296
37	0.6131138858
38	0.6125308859
39	0.6119130418
40	0.6114659933
41	0.6110701081
42	0.6105197214
43	0.6099716419
44	0.6095859764
45	0.6091141877
46	0.6085883087
47	0.6080755328
48	0.6076685492
49	0.607305415
50	0.6071368373
51	0.6067300756
52	0.6064128972
53	0.6060780957
54	0.6057486032
55	0.6055181175
56	0.605247189
57	0.6049483951
58	0.6046932679
59	0.6042812775
60	0.6039789509
61	0.6036940466
62	0.6034688834
63	0.6031757538
64	0.6029069969
65	0.6027146525
66	0.6025582137
67	0.6023291799
68	0.6020641165
69	0.6018559041
70	0.6015626206
71	0.6014083225
72	0.6011625106
73	0.600936832
74	0.6007285668
75	0.6005348981
76	0.6003503331
77	0.6001848149
78	0.6000134975
79	0.5999200039
80	0.5997283706
81	0.5995598194
82	0.5993583511
83	0.5992076625
84	0.5991050579
85	0.5988966719
86	0.5987706745
87	0.5986481302
88	0.5985020572
89	0.5983804591
90	0.5982285768
91	0.5980687286
92	0.5978797531
93	0.597803432
94	0.5977064706
95	0.5975830228
96	0.5974544371
97	0.5973135043
98	0.597163458
99	0.5970273249
100	0.5968945624
101	0.5968123961
102	0.5966388836
103	0.5965614148
104	0.5964405948
105	0.596313544
106	0.5961167162
107	0.5960343458
108	0.5958973313
109	0.5958088145
110	0.5956617831
111	0.5955737221
112	0.5954759309
113	0.595427059
114	0.5953111951
115	0.5950926726
116	0.5950678818
117	0.5949803236
118	0.594863885
119	0.5947627105
120	0.5946205709
121	0.5944751026
122	0.5943531147
123	0.5942764469
124	0.5942104846
125	0.5941658221
126	0.5940586701
127	0.5939585855
128	0.5938035707
129	0.5936922052
130	0.5935860331
131	0.5934901578
132	0.5933676624
133	0.5932491437
134	0.5931599936
135	0.5930841921
136	0.5930284151
137	0.5929894716
138	0.5929063732
139	0.5928191092
140	0.5927405636
141	0.5925806308
142	0.5925323161
143	0.5924041036
144	0.5923192515
145	0.5921547063
146	0.5921464158
147	0.5920872224
148	0.5919975236
149	0.5918880465
150	0.5918442498
151	0.5917614193
152	0.5916765497
153	0.5916271
154	0.591589564
155	0.5915375882
156	0.591503354
157	0.5913695954
158	0.5913164094
159	0.5912045088
160	0.5911225736
161	0.5910829529
162	0.5910021231
163	0.5909066372
164	0.5907971642
165	0.5907043079
166	0.5906657537
167	0.5905731232
168	0.5905049675
169	0.590428002
170	0.590357455
171	0.5902727533
172	0.5902198807
173	0.5901337135
174	0.5900240432
175	0.5899934459
176	0.5898977305
177	0.5898682359
178	0.5898272377
179	0.5896970217
180	0.58962401
181	0.5895913296
182	0.5895492857
183	0.5895274162
184	0.5893908063
185	0.5893374711
186	0.5891771225
187	0.5890760011
188	0.5889779989
189	0.588850262
190	0.5887225438
191	0.5886182566
192	0.5885858466
193	0.5884973999
194	0.5884701447
195	0.5883372291
196	0.5882924811
197	0.5882197621
198	0.5881764771
199	0.5881127129
200	0.5880733144
201	0.587952589
202	0.5879504025
203	0.5878874794
204	0.587857486
205	0.5877744905
206	0.5877011147
207	0.5876258062
208	0.5874769238
209	0.5873940255
210	0.5873039287
211	0.5871875918
212	0.5871538272
213	0.5870847129
214	0.5870560508
215	0.5869617229
216	0.5868829828
217	0.5868407935
218	0.5867925895
219	0.5867382178
220	0.586665232
221	0.5865864591
222	0.5865248829
223	0.5865059604
224	0.5864260757
225	0.5863654158
226	0.5862882303
227	0.5862078717
228	0.5861968916
229	0.5861570589
230	0.586146437
231	0.586079661
232	0.5859495109
233	0.5859033577
234	0.585867646
235	0.5857963884
236	0.5857024587
237	0.5856150699
238	0.5855395744
239	0.5854833889
240	0.5854206325
241	0.5853565584
242	0.5852939951
243	0.5852258863
244	0.5851674343
245	0.5851064163
246	0.5850546979
247	0.5849783141
248	0.5848842828
249	0.5848498116
250	0.5848143442
251	0.5846965804
252	0.5846002537
253	0.5844797768
254	0.5844032993
255	0.5843523232
256	0.5843185107
257	0.5843019824
258	0.5842165038
259	0.5841983038
260	0.5841539566
261	0.5841313399
262	0.5840376255
263	0.5839901587
264	0.5839062364
265	0.5837741882
266	0.5837207172
267	0.5837170092
268	0.5836965304
269	0.5836182366
270	0.5835244946
271	0.583496588
272	0.5834357631
273	0.5833801155
274	0.5833157924
275	0.5832398755
276	0.5831453111
277	0.5830668029
278	0.5830001666
279	0.5828924666
280	0.5828097137
